PlotCode,Region,MDS1,MDS2,Forest,Latitude,Longitude,WTD,Fertility,Mortality,CWD.mean.all,preci_drie_3,preci_anual,SAND-0.30-,CLAY-0.30-
BENCON_2,CA,-0.01233367,-0.248422125,TF,-4.449306,-70.016472,0,-0.34734,2.0371,-44.79591837,435.10901,2957.32446,38,33
BENCON_3,CA,-0.298538088,-0.344980862,TF,-4.502689,-70.032117,-5.49325,-0.32681,2.0371,-45.65306122,451.33447,3018.14331,35,38
BENCON_4,CA,-0.218147312,-0.183943912,TF,-4.489136,-70.014589,0,-0.32681,2.0371,-45.34693878,435.10901,2957.32446,38,34
BENCON_5,CA,-0.23490604,-0.196823693,TF,-4.494344,-69.992336,-1.57168,-0.32681,2.0371,-45.95918367,420.9646,2915.92676,33,40
BENI_03,SWA,2.058316623,-0.000740343,TF,-14.842335,-66.336889,-2.24308,-0.00133,2.72221,-208.9183673,175.47665,1936.32935,41,31
BENI_04,SWA,3.379338671,1.216718651,TF,-14.865278,-66.331111,-1.25124,0.00443,2.72221,-206.3265306,175.47665,1936.32935,45,27
BENI_05,SWA,1.701145554,-0.863883643,TF,-14.755358,-66.342779,-3.44854,-0.00133,2.72221,-219.8163265,175.47665,1936.32935,29,33
BENI_06,SWA,3.076187013,0.904952422,TF,-14.864278,-66.331111,-1.25124,0.00443,2.72221,-206.3265306,175.47665,1936.32935,45,27
BENI_07,SWA,2.208949069,-0.685415843,TF,-14.857222,-66.318611,-4.28779,0.00443,2.72221,-206.3265306,175.47665,1936.32935,43,29
BENI_08,SWA,2.269805454,-0.292339895,TF,-14.849444,-66.338611,-0.76295,-0.00133,2.72221,-208.9183673,175.47665,1936.32935,42,29
BENI_09,SWA,1.599720552,-0.896260381,TF,-14.729722,-66.318056,-6.33249,-0.00776,2.72221,-225.4897959,165.68143,1858.02197,30,33
BENI_10,SWA,1.652212644,-0.695969214,TF,-14.889167,-66.587778,-5.79843,0.04911,2.69823,-214.2653061,171.99417,1910.60681,34,31
BENI_11,SWA,3.819130576,-0.511141996,TF,-14.853333,-66.36,-2.97551,0.01787,2.72221,-208.9183673,175.47665,1936.32935,41,31
BENI_12,SWA,1.466800218,-1.151255631,TF,-14.636905,-66.060303,-5.34066,-0.00722,2.72221,-229.2653061,162.42931,1876.5719,36,30
BENI_14,SWA,1.917243526,-0.893436372,TF,-14.7425,-66.56,-6.46983,0.06088,2.69823,-217.4897959,166.02629,1846.82935,33,31
BLM_K,GS,-0.162618471,0.815141816,TF,4.75,-56.85,-5.27962,-0.41114,1.38153,-99.97959184,330.76532,2268.9104,46,38
BOCA_CUR,NWA,-0.010078166,-0.688106398,TF,-2.37869,-74.091472,-14.374,-0.4598,2.23702,-8.06122449,716.7793,3253.57642,53,25
BOG_01,NWA,0.713974871,-0.836479999,TF,-0.698198,-76.48333,-15.06065,0.3024,2.27117,-20.06122449,680.71069,3274.55029,46,36
BOG_02,NWA,0.75038182,-0.775754985,TF,-0.699099,-76.46667,-8.16358,0.3024,2.27776,-20.06122449,680.71069,3274.55029,46,35
BOG_03,NWA,0.809131595,-0.89084313,TF,-0.7,-76.46667,-8.16358,0.3024,2.27776,-20.06122449,680.71069,3274.55029,46,35
BOG_04,NWA,0.572241301,-0.655977483,TF,-0.7,-76.48333,-25.77249,0.3024,2.27117,-20.06122449,680.71069,3274.55029,46,36
BOG_05,NWA,1.039977722,-1.004821192,TF,-0.699099,-76.48333,-25.77249,0.3024,2.27117,-20.06122449,680.71069,3274.55029,46,36
BOG_06,NWA,0.309253787,-0.410805696,TF,-0.66667,-76.43333,-3.63165,0.28745,2.27776,-21.63265306,680.71069,3274.55029,46,33
BOU1,GS,-0.358044853,0.236768684,TF,2.21024,-54.4466,-25.36049,-0.40779,1.2673,-141.6122449,279.78278,2349.38574,35,43
BOU2,GS,-0.678814349,0.217199008,TF,2.21492,-54.44178,-15.42687,-0.40779,1.2673,-141.6122449,279.78278,2349.38574,35,43
BOU3,GS,-0.308076603,0.175879706,TF,2.21114,-54.44268,-11.15434,-0.40779,1.2673,-141.6122449,279.78278,2349.38574,35,43
BP107M,GS,-1.561357455,1.280703734,TF,5.49,-58.76,-37.43038,-0.68444,1.47549,-101.7755102,546.78326,2994.5791,48,33
